
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:       30
-0.544443 -8e-05  0.5 
-0.41674 -0.383124  0.5 
-0.391528 -0.41674  0.5 
-8e-05 -0.677751  0.5 
 0.41658 -0.563423  0.5 
 0.50829 -0.41674  0.5 
 0.544446 -8e-05  0.5 
 0.41658  0.383582  0.5 
 0.391831  0.41658  0.5 
-8e-05  0.677808  0.5 
-0.41674  0.563256  0.5 

